Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"MNC Kapital Indonesia Tbk.",BCAP,"Others - Finance",31/03/2020," December",39.76,6320,450.9,657.91,18430,12850,4960,4.96,386.5,13.24,0,1,66,125,30,38,140,0,159,2.4,1.27,5.38,0,0,0.5874,0.0201,-0.3135,0.0106,0.0028,2.5894,0.1284,0,1.3038
"Bank JTrust Indonesia Tbk.",BCIC,Bank,31/03/2020," December",10.01,4510,100,276.38,19500,17680,1820,1.82,-18.39,8.8,0,4,110,182,526,192,182,0,112.5,4.08,2.47,0.86,0,0,-0.0665,0.0318,0,0.0193,0.0018,9.6976,0.1087,0.7936,0.7936
"Bank Danamon Indonesia Tbk.",BDMN,Bank,31/03/2020," December",9.77,27370,1581.1,6380,203210,159940,42850,42.85,981.65,1250,187.55,510,2613,4384,200,1033,4428,0.067,5.49,1.07,0.64,14,0.3677,0,0.1537,0.195,0,0.1162,0.0245,3.7328,0.0682,1.0757,1.0757
"Bank Pembangunan Daerah Banten",BEKS,Bank,31/12/2019," December",64.11,3210,217.3,610.37,8100,7550,549.53,0.54953,-180.08,0,-2,10,9,-20,9,9,0,-25,5.25,5.56,-2.49,0,0,-0.295,-0.2253,0,-0.2503,-0.0169,13.7349,0.0794,0.923,0.923,0
"BFI Finance Indonesia Tbk.",BFIN,"Financial Institution",31/03/2020," December",15.97,4470,1434.9,1170,19680,13370,6310,6.31,849.76,327.86,12,82,293,395,-58,36,395,0.0429,3.41,0.96,0.71,-4.81,0.1463,0,0.7276,0.2807,0.1441,0.2079,0.0666,2.1207,0.0561,0,1.7559
"Bank Ganesha Tbk.",BGTG,Bank,31/03/2020," December",11.18,581.1,50.5,110.32,4850,3720,1140,1.14,-3.65,10.18,0,4,39,102,24,59,102,0,13,1.32,0.51,2.14,0,0,-0.033,0.0922,0,0.0357,0.0083,3.2654,0.1763,1.2441,1.2441
"Bhakti Multi Artha Tbk.",BHAT,Bank,31/12/2018," December",5,2180,423.3,50.6,238.83,234.33,1.37,0.00137,0.96103,0.98929,0,0,10,0,-2,1,1,0,0,43.08,0,-190.48,0,0,0.0189,0.0195,0.0183,0.7208,0.0041,170.779,0.0422,0,1.4104
"Bank Ina Perdana Tbk.",BINA,Bank,31/03/2020," December",5.65,4920,491.5,109.15,5090,3940,1150,1.15,2.54,2.18,0,2,77,203,-299,61,203,0,435,11.27,4.29,-2.91,0,0,0.0232,0.0199,0,0.0075,0.0017,3.4287,0.0879,1.2608,1.2608
"Bank Pembangunan Daerah Jawa B",BJBR,Bank,31/03/2020," December",9.84,8660,146.7,3230,123030,112020,10960,10.96,520.82,416.62,94.02,169,1314,1114,-2437,694,1119,0.1068,5.21,0.67,0.79,-0.36,0.5563,0,0.1611,0.1289,0,0.152,0.0135,10.219,0.0662,1.1285,1.1285
"Bank Pembangunan Daerah Jawa T",BJTM,Bank,31/03/2020," December",15.02,8180,126.7,1590,69720,60160,9560,9.56,557.21,439.28,48.2,117,425,637,-1603,420,637,0.0884,4.66,1.28,0.86,-0.34,0.412,0,0.3496,0.2756,0,0.1837,0.0252,6.2929,0.106,1.1124,1.1124
"Bank QNB Indonesia Tbk.",BKSW,Bank,31/03/2020," December",20.44,1470,165.2,388,21320,17250,4070,4.07,-26.02,-18.78,0,-4,76,199,-460,52,199,0,-18,0.95,0.36,-0.16,0,0,-0.067,-0.0483,0,-0.0184,-0.0035,4.2369,0.0611,1.0154,1.0154
"Bank Maspion Indonesia Tbk.",BMAS,Bank,31/03/2020," December",4.44,1420,100,159.77,7500,6260,1240,1.24,20.37,15.79,8,14,144,279,-73,103,279,0.025,22.86,2.22,1.15,-4.37,0.5714,0,0.1274,0.0988,0,0.0508,0.0084,5.0395,0.0728,1.0887,1.0887
