Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Eka Sari Lorena Transport Tbk.",LRNA,Transportation,31/03/2020," December",0.35,48.3,15.3,20.97,301.23,51.52,249.71,0.24971,-11.14,-11.46,0,-131,240,713,-9,47,713,0,-1.05,0.58,0.19,-14.53,0,-0.1143,-0.5312,-0.5465,-0.5723,-0.1836,-0.1522,0.2063,0.5917,1.1393,1.3842
"Mitrabahtera Segara Sejati Tbk",MBSS,Transportation,31/03/2020," December",1.75,584.51,20.9,229.18,3006.08,630.84,2209.06,2.209,-15.4,-29.4,0,-67.2,523.6,1262.8,127.4,306.6,1358,0,-4.25,0.55,0.23,2.25,0,0.0988,-0.0676,-0.1281,-0.1716,-0.0531,-0.039,0.2856,2.2796,3.2177,3.3594
"Nusantara Infrastructure Tbk.",META,"Wholesale (Durable & Non-Durab",31/03/2020," December",17.71,1910,32.4,805.59,5620,2290,2620,2.62,57.43,40.6,9.5,9,182,148,11,31,188,0.088,12,0.59,0.73,9.57,1.0556,0.1155,0.0712,0.0503,0.0419,0.0619,0.0288,0.8753,0.7349,1.1652,1.1736
"Mitra International Resources",MIRA,Transportation,31/03/2020," December",3.96,198.07,22.1,22.12,336.67,107.38,227.85,0.22785,-0.66293,-4.5,0,-5,22,58,13,1,58,0,-10,2.24,0.86,3.96,0,0.067,-0.0299,-0.2034,-0.2068,-0.0789,-0.0534,0.4713,0.0634,1.2895,1.3594
"Megapower Makmur Tbk.",MPOW,Energy,31/03/2020," December",0.817,45.75,28,6.99,269.52,146.25,123.27,0.12327,-1.92,-23.01,0,-113,34,151,18,4,151,0,-0.5,1.64,0.37,3.17,0,0.0748,-0.2742,-3.2898,-3.3037,-0.7466,-0.3414,1.1865,0.0348,0.1796,0.1831
"Meta Epsi Tbk.",MTPS,"Non Building Construction",31/03/2020," December",2.08,281.45,42.2,31.53,496.83,123.53,373.3,0.3733,2.91,4.92,0,9,60,179,-2,99,179,0,15,2.23,0.75,-55.54,0,0.1708,0.0922,0.1561,0.0511,0.0527,0.0396,0.3309,2.5811,0,5.185
"Pelayaran Nelly Dwi Putri Tbk.",NELY,Transportation,31/03/2020," December",2.35,303.15,76.8,60.71,549.8,77.85,471.46,0.47146,11.71,9.94,3.5,17,103,201,39,25,201,0.0271,7.59,1.25,0.64,3.33,0.2059,0.2973,0.1928,0.1638,0.1426,0.0843,0.0723,0.1651,2.6,5.0675,5.983
"Protech Mitra Perkasa Tbk.",OASA,"Non Building Construction",31/03/2020," December",0.3586,139.14,204.2,0.80243,49.6,0.7797,48.82,0.04882,-0.39581,2.39,0,27,9,136,24,134,136,0,14.37,43.35,2.85,16.17,0,0.3855,-0.4937,2.9837,2.5884,0.196,0.1929,0.016,332.685,339.311,341.763
"Perusahaan Gas Negara Tbk.",PGAS,Energy,31/03/2020," December",24.24,27510,378.3,12233,111160,64400,36400,36.4,2350.6,668.78,41.56,110.6,2018.8,1500.8,420,777,1895.6,0.0366,8.8,0.48,0.65,2.31,0.3222,0.3285,0.1921,0.0546,0.0437,0.0735,0.024,1.7905,1.0449,1.8329,1.8838
"Nusantara Pelabuhan Handal Tbk",PORT,Transportation,31/03/2020," December",2.81,1420,94.4,343.34,2490,1470,1080,1.08,34.21,5.55,0,8,488,384,15,72,363,0,63.13,1.03,1.32,33.12,0,0.1935,0.0996,0.0161,-0.0053,0.0205,0.0089,1.3592,0.2488,0.731,1.301
"Cikarang Listrindo Tbk.",POWR,Energy,31/03/2020," December",16.09,9570,39.7,1823.78,18200,8908.9,9250.92,9.25092,600.74,45.36,24.8856,11.2,453.6,575.4,89.6,210,575.4,0.0418,44.88,1.12,0.88,5.65,1.9143,0.405,0.3293,0.0249,0.0257,0.0196,0.01,0.963,6.6929,9.1875,10.216
"PP Presisi Tbk.",PPRE,"Non Building Construction",31/03/2020," December",10.22,2000,45.6,552.15,7300,4400,2240,2.24,108.38,14.02,6.5,5,216,219,-20,40,283,0.0332,39.2,0.91,0.89,-9.6,1.3,0,0.1962,0.0253,-0.1022,0.025,0.0076,1.9676,0.1363,1.367,1.3783
"Pelita Samudera Shipping Tbk.",PSSI,Transportation,31/03/2020," December",5.42,915.48,125.2,0.01929,1969.38,714.44,1255.1,1.25,41.02,15.26,5,11.2,200.2,232.4,72.8,12.6,232.4,0.0296,12.75,0.72,0.62,2,0.3846,0.2274,0.152,0.0565,0.0095,0.0486,0.031,0.569,0.1525,0.641,0.7198
"Indo Straits Tbk.",PTIS,Transportation,31/03/2020," December",0.55017,100.13,19.1,42.14,493.5,260.54,232.82,2.32,1.05,0.26,0,1.4,306.6,422.8,81.2,5.6,422.8,0,79.43,0.51,0.37,1.91,0,0.2995,0.025,0.0063,-0.0309,0.0045,0.0021,1.119,0.0502,1.152,1.2097
"Pratama Widya Tbk.",PTPW,"Non Building Construction",31/03/2020," December",0.87819,983.57,172.3,55.41,469.23,97.3,371.93,0.37193,14.66,12.81,0,58,252,424,-80,1,424,0,19.31,4.44,2.64,-13.99,0,0.4489,0.2646,0.2311,0.1973,0.1377,0.1091,0.2616,0.0121,0,3.2846
"Putra Rajawali Kencana Tbk.",PURA,Transportation,31/12/2019," December",5.3,652.08,117.1,88.46,221.94,40.44,181.51,0.18151,11.67,5.06,0,1,17,34,-2,2,34,0,123,7.37,3.62,-64.4,0,0.1998,0.1318,0.0572,0.0203,0.0278,0.0228,0.2228,0.5141,2.0096,2.0371
"Rukun Raharja Tbk.",RAJA,Energy,31/03/2020," December",4.23,460.75,374.4,412.16,2470.16,760.9,1404.34,1.404,39.48,-11.901,5.23,-11.2,390.6,383.18,64.4,109.2,404.6,0.048,-8.32,0.24,0.28,1.46,-0.4023,0.1721,0.0959,-0.0288,-0.0352,-0.0338,-0.0192,0.5419,1.331,2.6917,2.6982
"Rig Tenders Indonesia Tbk.",RIGS,Transportation,31/03/2020," March",0.60913,131.57,8.85,357.42,751.1,120.4,630.56,0.63056,50.4,24.92,0,40.6,586.6,1036,128.8,99.4,1036,0,4.52,0.31,0.18,1.43,0,0.2443,0.1409,0.0696,0.0379,0.0394,0.0331,0.191,0.5543,1.4721,1.6301
"Steady Safe Tbk",SAFE,Transportation,31/03/2020," December",0.61515,117.49,19.2,46.97,351.57,401.63,-49.58,-0.04958,11.97,1.45,0,9,305,-81,67,12,-81,0,21.22,0.63,-2.36,2.85,0,0.3373,0.2548,0.0308,0.0308,-0.1168,0.0164,-8.1002,0.0367,0,0.139
"Satria Antaran Prima Tbk.",SAPX,Transportation,31/03/2020," December",0.83333,1920,2300,108.63,177.85,59.97,117.88,0.11788,14.76,11.36,0,55,521,141,105,54,141,0,41.82,4.41,16.31,21.95,0,0.3897,0.1358,0.1045,0.1246,0.3855,0.2555,0.5087,1.0862,3.3364,3.3494
"Sidomulyo Selaras Tbk.",SDMU,Transportation,31/03/2020," December",1.14,56.76,27.5,24.03,192.14,189.5,0.84597,0.00084597,-23.58,-48.02,0,-169,85,1,-15,7,2,0,-0.3,0.59,50,-3.45,0,-0.6076,-0.9813,-1.9983,-2.012,-227.059,-0.9997,224.004,0.0425,0.1909,0.25
"Sillo Maritime Perdana Tbk.",SHIP,Transportation,31/03/2020," December",2.72,1630,428.6,287.56,3333.54,1646.26,1232.14,1.232,122.78,58.8,15,86.8,422.8,453.6,72.8,64.4,620.2,0.025,5.94,1.21,1.13,7.02,0.1485,0.4924,0.4267,0.2042,0.1928,0.1906,0.0704,1.3361,0.3238,0,0.8894
