Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Satria Mega Kencana Tbk.",SOTS,"Tourism, Restaurant And Hotel",31/03/2020," December",1,200,200,3.88,432.17,131.08,288.82,-0.04373,-4.22,-3.98,0,-16,16,289,0,16,301,0,-12.5,12.87,0.69,-1143.38,0,0,-1.0862,-1.0236,-1.7759,-0.055,-0.0368,0.4539,0.3958,0.8319,0.869
"Surya Pertiwi Tbk.",SPTO,"Wholesale (Durable & Non-Durab",31/03/2020," December",2.7,1340,496,542.05,3150,1410,1240,72.2,60.35,41.04,40,61,803,460,107,75,643,0.0806,8.13,0.62,1.08,4.64,0.6557,0.2647,0.1113,0.0757,0.0907,0.1323,0.0521,1.14,0.2383,0.8721,1.4125
"Wilton Makmur Indonesia Tbk.",SQMI,"Wholesale (Durable & Non-Durab",31/03/2020," December",15.54,2860,104.5,1.16,399.06,620.47,-216.85,-7.49,-9.03,-70.51,0,-18,0,-14,-2,0,-14,0,-10.22,614.44,-13.14,-95.45,0,0.2531,-7.7644,-60.6285,-61.4452,1.3006,-0.7067,-2.8613,0.0047,0.0549,0.0666
"Sejahteraraya Anugrahjaya Tbk.",SRAJ,Healthcare,31/03/2020," December",12,1540,136.6,282.12,3470,1700,1770,-3.68,-7.84,-9.42,0,-3,94,147,-1,18,147,0,-42.67,1.36,0.87,-104.36,0,0.3074,-0.0277,-0.0333,-0.0494,-0.0213,-0.0108,0.9647,0.1663,0.452,0.4903
"Saratoga Investama Sedaya Tbk.",SRTG,"Investment Company",31/03/2020," December",2.71,7380,49.5,0,20940,4170,16720,-10.52,-102.5,-6010,55,-8862,0,6164,-16,0,6181,0.0202,-0.31,0,0.44,-175.3,-0.0062,0,0,0,0,-1.4377,-1.1481,0.2495,0.0065,0,12.044
"Sugih Energy Tbk.",SUGI,"Others - Trade Services & Inve",30/09/2018," December",24.81,1240,64.8,11.5678,6751.22,4598.02,2154.46,72.94,71.54,-19.18,0,-1.4,0,86.8,4.2,0,86.8,0,-47.85,83.73,0.54,11.96,0,0.897,6.1841,-1.6582,-9.856,-0.0118,-0.0037,2.1341,0.0035,0,0.0496
"Indosterling Technomedia Tbk.",TECH,"Computer And Services",31/12/2019," December",1.26,178.39,88.8,19.65,25.88,9.9,16.06,-0.44456,2.1,2.93,0,2,16,13,0,8,13,0,71,9.08,10.92,-401.28,0,0.7211,0.1069,0.1493,0.1308,0.1827,0.1133,0.6165,1.4324,2.8715,2.8799
"Tiphone Mobile Indonesia Tbk.",TELE,"Retail Trade",30/09/2019," December",7.3,883.57,39,19950,9230,4940,4280,423.78,763.42,382.06,6,70,3642,586,77,147,587,0.0496,1.73,0.03,0.21,1.56,0.0857,0.0612,0.0382,0.0191,0.0124,0.119,0.0552,1.1545,0.6301,2.9329,4.9807
"Telefast Indonesia Tbk.",TFAS,"Wholesale (Durable & Non-Durab",31/03/2020," December",1.67,266.67,88.9,146.86,230.34,75.23,152.31,-23.12,4.66,2.4,0,6,352,91,-55,16,93,0,26.67,0.45,1.76,-2.88,0,0.0788,0.0317,0.0163,0.0074,0.0629,0.0416,0.494,0.3498,1.8597,3.0189
"Tigaraksa Satria Tbk.",TGKA,"Wholesale (Durable & Non-Durab",31/03/2020," December",0.91849,5970,5341.4,3380,3640,2130,1510,320.72,145.12,119.84,320,522,14732,1644,1397,990,1644,0.0492,12.45,0.44,3.95,4.65,0.613,0.1209,0.0429,0.0354,0.0427,0.3175,0.1315,1.4132,0.5074,1.4388,1.8775
"Tira Austenite Tbk",TIRA,"Wholesale (Durable & Non-Durab",30/09/2019," December",0.588,158.76,121.2,212.58,329.59,173.06,155.77,-11.49,7.21,1.46,0,3,482,265,-26,6,266,0,90,0.56,1.02,-10.36,0,0.3359,0.0338,0.0068,-0.0171,0.0124,0.0058,1.111,0.0253,0.711,1.4078
"Tempo Intimedia Tbk.",TMPO,"Advertising, Printing And Medi",31/03/2020," December",1.06,150.28,403.07,46.59,403.07,149.47,238.76,-5.03,-3.28,-7.65,0,-29,176,226,-19,4,240,0,-4.9,0.81,0.63,-7.47,0,0.329,-0.0704,-0.1642,-0.245,-0.1281,-0.0759,0.626,0.0553,1.8097,2.1579
"Triwira Insanlestari Tbk.",TRIL,"Wholesale (Durable & Non-Durab",30/09/2019," December",1.2,60,12.5,0.26199,126.75,5.66,121.07,1.98,-2.61,-3,0,-3,0,101,2,9,101,0,-16.67,171.76,0.5,22.73,0,0.4406,-9.9465,-11.4312,-11.4331,-0.0329,-0.0315,0.0467,295.161,724.302,2357.35
"Trikomsel Oke Tbk.",TRIO,"Retail Trade",30/09/2019," December",26.01,11080,189.3,840.22,194.48,3820,-3550,-1.03,-25.47,-36.86,0,-2,43,-136,0,0,-139,0,-213,9.89,-3.13,-8059.02,0,0.0697,-0.0303,-0.0438,-0.0764,0.0138,-0.2527,-1.0764,0.0072,0.0748,0.144
"Tunas Ridean Tbk.",TURI,"Wholesale (Durable & Non-Durab",31/03/2020," December",5.58,7640,3044.4,3170,6350,2270,4070,67.25,370.36,125.05,26,90,2271,729,48,84,731,0.019,15.22,0.6,1.88,28.42,0.2889,0,0.1168,0.0394,0.0408,0.1229,0.0788,0.558,0.2991,0.8489,1.5627
"Pakuan Tbk.",UANG,"Tourism, Restaurant And Hotel",31/12/2019," December",1.21,665.5,440,6.89,284.88,217.48,67.4,-20.02,-15.1,-23.83,0,-20,6,56,-17,2,56,0,-27.5,96.66,9.82,-33.25,0,0.0556,-2.1924,-3.4618,-4.5776,-0.3536,-0.0836,3.2267,0.1014,0,4.1424
"United Tractors Tbk.",UNTR,"Wholesale (Durable & Non-Durab",31/03/2020," December",3.73,69010,22022,18310,114910,48510,63100,5900,3200,1820,1213,1955,19639,16916,6327,4580,17800,0.0656,9.46,0.94,1.09,2.92,0.6205,0.2325,0.1746,0.0995,0.1061,0.1155,0.0634,0.7688,0.6265,1.4021,1.8063
"Visi Media Asia Tbk.",VIVA,"Advertising, Printing And Medi",31/12/2019," December",16.46,823.21,16.7,2120,8570,7420,583.9,52.24,-31.92,-550.83,0,-33,129,35,3,1,70,0,-1.52,0.39,1.43,15.76,0,0.5668,-0.015,-0.26,-0.5087,-0.9433,-0.0642,12.707,0.0031,0.5133,0.6213
"Wahana Pronatural Tbk.",WAPO,"Wholesale (Durable & Non-Durab",31/03/2020," December",1.24,80.66,37.1,85.56,90.6,12.33,78.27,0.91938,-0.40569,0.02111,0,0,276,63,3,5,63,0,0,0.24,1.03,21.93,0,0.007,-0.0047,0.0002,-0.0004,0.001,0.0009,0.1575,0.5022,1.7598,3.3928
"Wicaksana Overseas Internation",WICO,"Wholesale (Durable & Non-Durab",31/03/2020," December",1.27,780.4,31.8,853.19,720.13,471.16,248.95,-58.43,0.4327,1.44,0,5,2689,196,-184,13,196,0,123,0.23,3.14,-3.34,0,0.0845,0.0005,0.0016,0.0016,0.0231,0.0079,1.8926,0.0363,0.6959,1.506
"Yelooo Integra Datanet Tbk.",YELO,"Others - Trade Services & Inve",31/03/2020," December",0.38004,19,50,2.15,81.47,4.54,76.93,-0.11835,-2.52,-4.93,0,-52,23,202,-1,50,202,0,-0.96,2.21,0.25,-40.14,0,0,-1.1708,-2.2906,-2.2907,-0.2565,-0.2422,0.059,5.6825,0,12.7845
"Zebra Nusantara Tbk",ZBRA,"Wholesale (Durable & Non-Durab",31/12/2019," December",0.85613,43.66,29.5,15.7,5.58,14.66,-9.16,0.16897,-0.24867,-0.99418,0,-1,18,-11,0,0,-11,0,-51,2.78,-4.64,258.4,0,0.2241,-0.0158,-0.0633,-0.0918,0.1084,-0.1782,-1.6006,0.0122,0.0754,0.0786
