Date,Open,High,Low,Close,Adj Close,Volume
2017-12-06,1280.000000,1300.000000,975.000000,1300.000000,1219.636353,1000700
2017-12-07,1300.000000,1300.000000,1290.000000,1300.000000,1219.636353,1000000
2017-12-08,1290.000000,1300.000000,1290.000000,1300.000000,1219.636353,1000000
2017-12-11,1290.000000,1300.000000,1290.000000,1300.000000,1219.636353,500200
2017-12-12,1290.000000,1300.000000,1290.000000,1300.000000,1219.636353,593600
2017-12-13,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,100
2017-12-14,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,200
2017-12-15,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,100
2017-12-18,1300.000000,1300.000000,1250.000000,1290.000000,1210.254517,1700
2017-12-19,1280.000000,1280.000000,1250.000000,1250.000000,1172.727295,5100
2017-12-20,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,100
2017-12-21,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,200
2017-12-22,1280.000000,1280.000000,1250.000000,1250.000000,1172.727295,10000
2017-12-25,1250.000000,1250.000000,1250.000000,1250.000000,1172.727295,0
2017-12-26,1250.000000,1250.000000,1250.000000,1250.000000,1172.727295,0
2017-12-27,1250.000000,1290.000000,1250.000000,1290.000000,1210.254517,400
2017-12-28,1255.000000,1290.000000,1250.000000,1290.000000,1210.254517,1200
2017-12-29,1250.000000,1250.000000,1250.000000,1250.000000,1172.727295,1000
2018-01-01,1250.000000,1250.000000,1250.000000,1250.000000,1172.727295,0
2018-01-02,1250.000000,1250.000000,1250.000000,1250.000000,1172.727295,400
2018-01-03,1250.000000,1290.000000,1250.000000,1290.000000,1210.254517,13700
2018-01-04,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,1000
2018-01-05,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,0
2018-01-08,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,1100
2018-01-09,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,500
2018-01-10,1290.000000,1290.000000,1270.000000,1270.000000,1191.490967,1100
2018-01-11,1270.000000,1270.000000,1250.000000,1270.000000,1191.490967,700
2018-01-12,1250.000000,1280.000000,1250.000000,1270.000000,1191.490967,800
2018-01-15,1250.000000,1270.000000,1250.000000,1270.000000,1191.490967,9000
2018-01-16,1270.000000,1280.000000,1250.000000,1250.000000,1172.727295,4800
2018-01-17,1255.000000,1280.000000,1255.000000,1280.000000,1200.872681,800
2018-01-18,1280.000000,1280.000000,1280.000000,1280.000000,1200.872681,6100
2018-01-19,1280.000000,1280.000000,1280.000000,1280.000000,1200.872681,0
2018-01-22,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,200
2018-01-23,1260.000000,1325.000000,1260.000000,1300.000000,1219.636353,3400
2018-01-24,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,200
2018-01-25,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,0
2018-01-26,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,200
2018-01-29,1290.000000,1300.000000,1290.000000,1300.000000,1219.636353,3500
2018-01-30,1290.000000,1300.000000,1290.000000,1290.000000,1210.254517,1100
2018-01-31,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,1400
2018-02-01,1290.000000,1305.000000,1290.000000,1305.000000,1224.327271,943600
2018-02-02,1310.000000,1310.000000,1300.000000,1300.000000,1219.636353,23000
2018-02-05,1300.000000,1300.000000,1295.000000,1300.000000,1219.636353,2200500
2018-02-06,1250.000000,1280.000000,1250.000000,1280.000000,1200.872681,11400
2018-02-07,1280.000000,1280.000000,1280.000000,1280.000000,1200.872681,0
2018-02-08,1280.000000,1280.000000,1280.000000,1280.000000,1200.872681,0
2018-02-09,1250.000000,1280.000000,1250.000000,1280.000000,1200.872681,500100
2018-02-12,1280.000000,1300.000000,1280.000000,1300.000000,1219.636353,3248100
2018-02-13,1280.000000,1300.000000,1280.000000,1300.000000,1219.636353,5025600
2018-02-14,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,0
2018-02-15,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,0
2018-02-16,1300.000000,1300.000000,1300.000000,1300.000000,1219.636353,0
2018-02-19,1290.000000,1290.000000,1290.000000,1290.000000,1210.254517,200
2018-02-20,1280.000000,1280.000000,1280.000000,1280.000000,1200.872681,200
2018-02-21,1280.000000,1280.000000,1280.000000,1280.000000,1200.872681,0
2018-02-22,1290.000000,1300.000000,1290.000000,1300.000000,1219.636353,2200
2018-02-23,1350.000000,1350.000000,1350.000000,1350.000000,1266.545410,2400
2018-02-26,1330.000000,1380.000000,1330.000000,1380.000000,1294.690918,800
2018-02-27,1400.000000,1400.000000,1370.000000,1390.000000,1304.072754,4100
